Date,Description,Amount
2024-12-22,Grocery,265.59
2024-07-13,"RideShare, Special",-148.24
2024-07-18,Pharmacy,234.63
2024-11-04,Online Store,-227.06
2024-09-05,Grocery,168.87
2024-07-26,Coffee Shop,419.54
2024-11-14,"Streaming Service, Special",-105.98
2024-10-15,Grocery,-71.39
2024-08-24,Coffee Shop,-120.9
2024-04-18,RideShare,261.23
2024-07-13,Restaurant,331.92
2024-05-09,Fuel,249.02
2024-01-27,Gym,-431.38
2024-11-29,Grocery,449.61
2024-04-12,Grocery,-261.46
2024-08-30,Fuel,-282.04
2024-12-24,Restaurant,-332.21
2024-11-06,Fuel,-336.23
2024-06-08,Fuel,428.89
2024-10-21,Pharmacy,215.01
2024-02-08,Utilities,127.24
2024-02-22,Restaurant,100.41
2024-03-02,Utilities,-152.8
2024-08-07,Gym,147.54
2024-01-07,Pharmacy,-394.46
2024-07-04,RideShare,-64.51
2024-09-24,Restaurant,419.62
2024-09-04,RideShare,231.03
2024-05-17,Gym,330.73
2024-02-14,Restaurant,-256.14
2024-08-25,Utilities,-121.01
2024-01-15,RideShare,-318.16
2024-04-18,Gym,-159.66
2024-11-01,Restaurant,16.63
2024-04-07,Fuel,-93.57
2024-10-11,Online Store,145.9
2024-09-08,RideShare,-406.95
2024-04-23,Pharmacy,-193.79
2024-10-24,Gym,30.92
2024-08-05,Streaming Service,202.85
2024-05-18,Restaurant,-379.34
2024-04-08,Gym,35.86
2024-12-19,Coffee Shop,238.6
2024-05-21,Utilities,24.64
2024-05-24,Fuel,-203.75
2024-07-03,Coffee Shop,208.02
2024-03-05,"Restaurant, Special",-445.47
2024-05-29,Coffee Shop,252.79
2024-02-22,Grocery,-30.6
2024-08-13,Gym,-448.62
2024-09-01,Fuel,-99.29
2024-02-07,Utilities,-446.39
2024-03-17,Utilities,-414.82
2024-05-07,Fuel,-83.83
2024-11-01,Utilities,22.57
2024-08-18,RideShare,88.53
2024-08-07,Restaurant,-439.77
2024-02-20,Online Store,-235.35
2024-02-11,Coffee Shop,51.99
2024-03-21,Grocery,189.37
2024-08-28,"Restaurant, Special",-211.9
2024-05-24,RideShare,-266.58
2024-05-15,Utilities,433.67
2024-08-05,Fuel,147.63
2024-05-16,Coffee Shop,-334.08
2024-06-06,Utilities,69.21
2024-05-27,RideShare,188.68
2024-12-24,Pharmacy,0.47
2024-09-09,RideShare,-460.14
2024-08-09,Gym,-474.14
2024-04-27,Utilities,-479.25
2024-12-10,Restaurant,263.11
2024-03-30,RideShare,-57.77
2024-05-22,Coffee Shop,-64.12
2024-09-08,Fuel,-91.65
2024-06-13,Fuel,-170.2
2024-12-21,RideShare,445.19
2024-10-08,Grocery,-185.48
2024-06-14,Fuel,-95.82
2024-09-20,Grocery,42.59
2024-07-30,Grocery,-138.22
2024-09-12,RideShare,-296.44
2024-10-08,Coffee Shop,-61.88
2024-12-23,RideShare,473.15
2024-11-07,Online Store,-189.25
2024-01-08,Streaming Service,-275.3
2024-02-28,RideShare,147.71
2024-03-19,RideShare,-208.14
2024-12-27,Restaurant,-17.5
2024-08-29,Online Store,-355.36
2024-04-07,Utilities,379.33
2024-02-05,Restaurant,354.41
2024-06-23,Streaming Service,-497.43
2024-06-01,Utilities,159.94
2024-03-17,RideShare,-154.88
2024-10-09,Streaming Service,432.85
2024-04-06,Online Store,-266.44
2024-07-29,Grocery,-27.02
2024-07-14,Pharmacy,292.39
2024-11-29,Coffee Shop,-462.98
2024-09-14,Utilities,-399.64
2024-08-13,Fuel,-43.07
2024-03-14,Pharmacy,469.96
2024-02-08,RideShare,-234.98
2024-11-15,Pharmacy,351.77
2024-12-11,Streaming Service,-183.34
2024-09-06,"Streaming Service, Special",-431.58
2024-11-19,Restaurant,246.77
2024-08-10,Fuel,203.89
2024-02-21,RideShare,-200.53
2024-01-15,Grocery,-443.88
2024-07-02,Gym,-255.8
2024-07-29,Utilities,-319.94
2024-03-30,Fuel,-117.46
2024-12-15,Online Store,83.16
2024-04-28,RideShare,-40.43
2024-12-07,Grocery,-34.75
2024-05-27,Streaming Service,-58.27
2024-06-25,Utilities,462.03
2024-12-19,Restaurant,-197.88
2024-07-15,RideShare,-118.64
2024-07-02,Utilities,199.28
2024-01-12,Pharmacy,65.93
2024-12-17,Grocery,245.17
2024-05-26,Online Store,-147.68
2024-11-21,Online Store,177.76
2024-12-03,Coffee Shop,403.4
2024-11-26,Grocery,-59.18
2024-10-23,Gym,-409.87
2024-05-31,Gym,-324.36
2024-03-08,Streaming Service,-134.14
2024-09-13,Restaurant,-243.03
2024-09-03,Restaurant,-161.28
2024-02-28,RideShare,-359.24
2024-04-25,Pharmacy,304.59
2024-07-06,Fuel,-486.08
2024-10-01,Fuel,172.83
2024-12-10,Restaurant,322.42
2024-07-09,Fuel,-28.52
2024-11-13,Streaming Service,110.08
2024-11-27,Fuel,-35.73
2024-12-24,Restaurant,-383.32
2024-01-24,Grocery,-7.38
2024-02-19,Online Store,-364.34
2024-08-20,Gym,243.14
2024-10-03,Pharmacy,226.6
2024-07-31,Fuel,115.65
2024-05-23,Grocery,-282.73
2024-08-15,Online Store,-400.65
2024-12-17,Gym,477.84
2024-07-02,Grocery,-310.19
2024-03-03,RideShare,-287.89
2024-11-23,Utilities,-449.42
2024-06-19,Online Store,286.98
2024-04-15,Fuel,54.21
2024-10-27,Online Store,-267.0
2024-03-16,"Utilities, Special",358.41
2024-03-15,Coffee Shop,298.51
2024-02-26,Grocery,-141.76
2024-05-01,Utilities,-325.75
2024-01-27,Coffee Shop,26.09
2024-02-02,RideShare,-137.96
2024-10-30,Fuel,-278.45
2024-11-10,Grocery,408.75
2024-12-03,Streaming Service,143.34
2024-01-16,Grocery,347.3
2024-08-06,Fuel,409.7
2024-02-07,Fuel,-351.67
2024-03-05,Restaurant,85.36
2024-12-30,Gym,97.39
2024-05-30,RideShare,-69.8
2024-12-25,Fuel,150.92
2024-10-09,Online Store,388.09
2024-07-30,Gym,-101.27
2024-02-18,Gym,165.11
2024-07-10,Coffee Shop,-25.73
2024-02-16,Fuel,-403.44
2024-07-09,Coffee Shop,86.47
2024-10-14,Streaming Service,-377.77
2024-06-30,Pharmacy,221.06
2024-05-27,Utilities,-396.4
2024-09-16,Online Store,-17.81
2024-02-25,Gym,-132.44
2024-05-22,Utilities,-70.89
2024-10-14,Utilities,142.7
2024-01-14,Utilities,329.46
2024-05-16,Grocery,202.7
2024-06-07,Gym,-318.59
2024-03-14,Utilities,-430.41
2024-11-20,Grocery,30.48
2024-07-11,Pharmacy,-342.59
2024-06-08,Gym,67.59
2024-02-13,Grocery,254.44
2024-01-26,Fuel,161.94
2024-09-05,Utilities,-226.83
2024-09-19,Fuel,-389.11
2024-12-13,Utilities,167.13
2024-01-24,Online Store,99.32
2024-01-04,Online Store,-288.77
2024-03-11,Restaurant,-380.02
2024-09-11,Pharmacy,-119.79
2024-12-26,Online Store,333.35
2024-06-30,Fuel,242.04
2024-08-11,Grocery,-422.14
2024-06-09,Utilities,-95.58
2024-11-23,Pharmacy,-94.97
2024-06-15,Coffee Shop,118.13
2024-12-19,Gym,344.48
2024-05-04,Pharmacy,23.96
2024-07-21,Restaurant,-278.43
2024-03-27,Fuel,-385.97
2024-09-18,Online Store,-150.62
2024-11-26,Coffee Shop,-353.56
2024-04-11,Coffee Shop,260.22
2024-12-01,Fuel,272.85
2024-09-09,RideShare,259.88
2024-08-17,Utilities,486.53
2024-06-14,Gym,-431.71
2024-08-14,Restaurant,91.42
2024-06-29,Streaming Service,-38.26
2024-01-20,Grocery,-212.92
2024-11-26,Fuel,7.07
2024-08-24,Utilities,291.82
2024-01-22,RideShare,71.66
2024-04-06,Gym,1.37
2024-02-01,RideShare,399.13
2024-06-24,Fuel,-327.44
2024-05-06,RideShare,24.07
2024-11-08,Coffee Shop,417.94
2024-07-17,Pharmacy,178.9
2024-01-27,Gym,-405.49
2024-12-13,Pharmacy,223.73
2024-12-02,Utilities,-166.64
2024-10-25,Coffee Shop,-189.77
2024-12-01,Pharmacy,208.83
2024-02-13,Restaurant,143.49
2024-06-17,Coffee Shop,328.96
2024-12-16,Streaming Service,170.46
2024-09-17,"Gym, Special",-191.13
2024-04-19,Gym,-13.73
2024-04-25,Coffee Shop,-204.21
2024-02-21,Streaming Service,335.12
2024-09-26,Grocery,376.39
2024-11-12,Coffee Shop,-345.75
2024-04-02,Utilities,-334.46
2024-08-12,Grocery,176.36
2024-05-01,RideShare,252.39
2024-08-17,Online Store,-190.53
2024-08-28,Online Store,447.13
2024-08-13,RideShare,278.12
2024-09-14,Streaming Service,-337.94
2024-04-12,Utilities,-250.0
2024-11-24,RideShare,54.54
2024-02-22,Streaming Service,-214.94
2024-03-23,Restaurant,13.35
2024-08-11,Fuel,-277.96
2024-08-18,Gym,-85.1
2024-07-21,Streaming Service,-113.83
2024-02-11,Gym,-181.32
2024-02-20,Gym,-362.4
2024-05-26,RideShare,-361.21
2024-12-27,RideShare,-494.75
2024-02-10,Grocery,334.96
2024-10-07,Utilities,-388.81
2024-05-27,Online Store,-452.25
2024-08-02,Utilities,-389.14
2024-09-12,Utilities,131.95
2024-10-21,Online Store,-208.73
2024-01-01,Utilities,70.66
2024-04-05,Fuel,-139.4
2024-09-26,Streaming Service,488.33
2024-10-10,Grocery,-29.86
2024-11-21,Pharmacy,-246.35
2024-01-09,Gym,-155.2
2024-12-02,Fuel,235.19
2024-06-19,"Coffee Shop, Special",46.01
2024-11-25,Coffee Shop,184.68
2024-12-22,RideShare,311.5
2024-02-02,"RideShare, Special",-298.41
2024-04-12,Grocery,-189.92
2024-07-22,Streaming Service,-463.38
2024-11-27,Online Store,362.14
2024-01-25,Gym,299.34
2024-08-11,Pharmacy,394.64
2024-07-16,Gym,-3.8
2024-09-11,Gym,19.28
2024-02-12,Pharmacy,102.45
2024-04-02,Streaming Service,-397.4
2024-06-16,Restaurant,102.62
2024-08-06,Coffee Shop,-148.45
2024-01-22,Gym,-65.06
2024-11-23,Grocery,137.51
2024-07-05,Streaming Service,179.41
2024-01-16,Coffee Shop,178.09
2024-08-12,Grocery,-264.0
2024-11-26,Gym,449.47
2024-01-17,Utilities,-50.08
2024-07-08,Gym,-423.11
2024-03-11,Streaming Service,-185.61
2024-05-22,Online Store,-474.09
2024-04-05,RideShare,413.54
2024-03-01,Restaurant,204.04
2024-04-19,Utilities,416.48
2024-09-08,Online Store,352.83
2024-08-19,Coffee Shop,-54.89
2024-02-14,Gym,209.54
2024-10-08,Streaming Service,-200.04
2024-03-21,Coffee Shop,8.76
2024-03-03,Online Store,-263.26
2024-09-09,Grocery,72.28
2024-08-27,Streaming Service,384.25
2024-02-03,Restaurant,216.93
2024-09-02,Streaming Service,-90.57
2024-10-21,Fuel,-182.97
2024-02-07,RideShare,17.36
2024-03-06,Streaming Service,-318.04
2024-03-07,Pharmacy,368.21
2024-03-04,Streaming Service,-335.34
2024-06-14,Online Store,440.9
2024-05-25,Fuel,135.06
2024-10-09,Restaurant,-197.18
2024-09-30,Fuel,-331.36
2024-10-24,Coffee Shop,124.48
2024-11-05,Gym,63.62
2024-01-15,"Fuel, Special",141.45
2024-10-22,Restaurant,266.96
2024-08-01,Utilities,-1.96
2024-11-17,Streaming Service,456.65
2024-09-04,Online Store,184.99
2024-06-01,RideShare,-440.09
2024-08-13,Pharmacy,-295.98
2024-11-06,Coffee Shop,218.36
2024-06-25,Pharmacy,-129.46
2024-10-14,Fuel,-33.53
2024-05-16,RideShare,-403.19
2024-05-28,Pharmacy,-81.87
2024-03-22,Gym,221.13
2024-04-07,Coffee Shop,14.72
2024-09-12,Restaurant,-409.95
2024-07-20,Streaming Service,-259.27
2024-10-25,"Gym, Special",-218.64
2024-11-01,RideShare,-491.82
2024-02-25,Pharmacy,-235.53
2024-07-06,Pharmacy,-99.42
2024-10-18,Streaming Service,53.22
2024-02-07,Pharmacy,264.4
2024-05-23,Utilities,-381.19
2024-02-19,Pharmacy,486.79
2024-10-12,Gym,-300.94
2024-09-17,Pharmacy,-454.7
2024-03-11,Gym,19.33
2024-03-17,Utilities,-360.22
2024-11-09,Gym,490.62
2024-06-02,Utilities,328.29
2024-09-29,RideShare,-200.21
2024-01-09,Gym,-390.4
2024-08-01,Utilities,398.77
2024-12-18,Grocery,-234.47
2024-12-01,Utilities,221.4
2024-10-25,RideShare,129.03
2024-11-13,Pharmacy,180.73
2024-01-17,Utilities,-390.1
2024-01-10,RideShare,-348.57
2024-12-19,Online Store,274.97
2024-08-29,Grocery,18.68
2024-10-14,Gym,-21.63
2024-07-11,Gym,-40.34
2024-09-29,Gym,175.87
2024-12-14,Restaurant,-307.74
2024-05-06,Restaurant,-275.13
2024-06-01,Restaurant,190.24
2024-09-07,Gym,60.49
2024-05-20,Restaurant,176.62
2024-07-13,Pharmacy,454.61
2024-03-15,"Restaurant, Special",455.31
2024-02-10,Gym,155.97
2024-09-02,Online Store,38.58
2024-10-14,Restaurant,115.68
2024-10-27,Online Store,169.83
2024-09-28,Online Store,-447.51
2024-07-30,Gym,-399.46
2024-03-11,Grocery,477.91
2024-03-21,Pharmacy,380.65
2024-08-31,RideShare,255.91
2024-05-27,Gym,-440.84
2024-02-15,Utilities,238.69
2024-01-20,Coffee Shop,337.6
2024-01-19,Pharmacy,-313.69
2024-05-28,"Grocery, Special",67.96
2024-02-24,Gym,489.1
2024-10-05,Streaming Service,438.56
2024-09-15,RideShare,308.81
2024-06-18,Coffee Shop,148.29
2024-04-05,Grocery,290.77
2024-10-17,Online Store,356.15
2024-07-26,Pharmacy,-413.26
2024-12-08,Fuel,-359.39
2024-06-14,"Online Store, Special",-116.43
2024-08-16,Restaurant,-198.05
2024-10-20,Grocery,-140.45
2024-04-30,Grocery,-34.61
2024-03-22,Pharmacy,423.11
2024-12-26,Restaurant,138.71
2024-05-31,Gym,-280.87
2024-03-09,RideShare,247.73
2024-11-06,Gym,49.23
2024-08-29,Streaming Service,325.6
2024-05-06,Utilities,-418.13
2024-08-16,Streaming Service,-421.9
2024-10-15,Fuel,47.65
2024-09-15,Online Store,-350.15
2024-06-16,Streaming Service,180.3
2024-10-25,RideShare,10.38
2024-01-29,RideShare,-84.58
2024-10-15,Grocery,172.77
2024-06-06,Grocery,316.45
2024-04-21,Utilities,-76.3
2024-12-24,Fuel,-439.74
2024-02-05,"RideShare, Special",-91.13
2024-03-10,Pharmacy,391.33
2024-08-17,Pharmacy,182.73
2024-12-04,Streaming Service,360.29
2024-03-01,Coffee Shop,-106.94
2024-03-06,Online Store,256.18
2024-06-01,RideShare,44.45
2024-09-29,Pharmacy,-252.49
2024-06-26,Coffee Shop,437.41
2024-02-27,Grocery,-80.76
2024-01-09,Online Store,-399.1
2024-01-18,RideShare,203.29
2024-01-25,Online Store,-97.73
2024-04-29,Streaming Service,363.73
2024-01-29,Coffee Shop,-210.74
2024-10-21,Gym,272.54
2024-06-13,Online Store,-356.74
2024-12-04,Streaming Service,-199.5
2024-02-01,Streaming Service,379.71
2024-03-30,Pharmacy,-453.12
2024-06-25,Pharmacy,-181.27
2024-08-01,Pharmacy,-123.54
2024-10-02,RideShare,-274.66
2024-12-28,Coffee Shop,414.74
2024-10-14,Pharmacy,57.29
2024-03-09,Pharmacy,-296.66
2024-11-27,Fuel,347.13
2024-02-17,Streaming Service,-309.52
2024-05-17,Pharmacy,102.92
2024-02-07,Online Store,87.58
2024-12-09,Streaming Service,-291.11
2024-06-19,Restaurant,-484.67
2024-04-07,Fuel,254.33
2024-05-04,Utilities,-103.37
2024-05-02,Streaming Service,-216.94
2024-08-26,Streaming Service,-191.58
2024-07-03,Streaming Service,-34.0
2024-08-28,Gym,-129.3
2024-07-30,Grocery,-278.73
2024-03-15,Grocery,434.76
2024-10-23,Pharmacy,-303.81
2024-04-27,Pharmacy,-254.27
2024-10-08,Gym,321.59
2024-11-24,RideShare,232.77
2024-06-29,Coffee Shop,46.55
2024-04-04,Streaming Service,457.24
2024-09-25,Grocery,-425.67
2024-12-08,Grocery,-87.61
2024-11-18,Online Store,-348.97
2024-04-21,Streaming Service,-439.55
2024-11-22,Utilities,159.28
2024-01-09,Grocery,-88.66
2024-01-09,Streaming Service,35.74
2024-05-26,Grocery,197.86
2024-08-08,Coffee Shop,-403.69
2024-03-17,Online Store,26.46
2024-06-30,Restaurant,-420.98
2024-07-26,RideShare,490.23
2024-04-25,Restaurant,347.87
2024-11-30,Grocery,-120.74
2024-10-09,RideShare,-490.55
2024-03-28,Fuel,-66.09
2024-06-18,Utilities,473.84
2024-09-27,Grocery,401.27
2024-12-20,Utilities,-453.44
2024-02-08,Restaurant,63.51
2024-01-17,Coffee Shop,-185.52
2024-04-16,Utilities,320.69
2024-07-22,Fuel,63.96
2024-10-17,Pharmacy,40.56
2024-07-15,Coffee Shop,189.31
2024-02-10,Streaming Service,-154.14
2024-02-20,Pharmacy,-423.98
2024-11-05,Utilities,-103.3
2024-06-16,Grocery,283.55
2024-08-18,RideShare,53.04
2024-07-11,Pharmacy,85.88
2024-07-13,Fuel,-204.62
2024-05-06,Fuel,-345.78
2024-12-30,Coffee Shop,-183.32
2024-02-24,"Fuel, Special",-191.73
2024-07-03,Restaurant,-412.7
2024-08-08,RideShare,12.44
2024-02-22,Grocery,54.22
2024-11-01,Utilities,363.72
2024-01-07,Restaurant,279.17
2024-10-13,Online Store,-330.42
2024-07-13,Coffee Shop,-198.87
2024-09-09,Coffee Shop,-65.32
2024-08-03,Restaurant,-423.08
2024-05-08,Online Store,-4.2
2024-11-11,Online Store,-364.51
2024-01-04,Pharmacy,120.19
2024-06-17,RideShare,315.48
2024-11-29,Utilities,-179.33
2024-12-21,Online Store,-322.36
2024-07-22,Gym,194.96
2024-09-08,Utilities,-174.11
2024-05-23,Pharmacy,432.07
2024-04-12,Utilities,-320.07
2024-10-08,Grocery,-38.38
2024-12-28,Online Store,-208.67
2024-12-20,Fuel,295.66
2024-07-28,RideShare,-197.17
2024-05-09,Coffee Shop,289.08
2024-02-07,RideShare,-20.77
2024-07-24,Streaming Service,420.39
2024-12-20,Pharmacy,290.72
2024-07-03,Streaming Service,414.4
2024-02-25,Online Store,-144.99
2024-11-27,"Utilities, Special",483.61
2024-12-12,Pharmacy,-168.4
2024-08-08,"Fuel, Special",-241.26
2024-09-18,Streaming Service,187.66
2024-04-23,RideShare,-36.94
2024-12-13,Utilities,-349.26
2024-01-13,RideShare,-84.02
2024-02-13,Fuel,230.15
2024-06-27,Restaurant,284.27
2024-09-23,RideShare,-402.38
2024-12-22,RideShare,-199.74
2024-12-29,"Fuel, Special",-156.92
2024-02-25,Coffee Shop,240.49
2024-09-21,Coffee Shop,-169.01
2024-08-06,RideShare,-94.95
2024-04-04,Coffee Shop,-67.87
2024-01-15,Utilities,-50.42
2024-08-07,"Pharmacy, Special",-285.2
2024-05-22,Fuel,299.5
2024-10-01,Coffee Shop,-302.93
2024-02-28,Restaurant,-10.52
2024-11-23,Gym,111.31
2024-10-27,Fuel,345.52
2024-11-12,Coffee Shop,205.99
2024-06-01,Utilities,172.11
2024-06-09,Fuel,-383.05
2024-07-10,Coffee Shop,-81.76
2024-03-11,Utilities,-314.25
2024-11-21,Streaming Service,145.26
2024-03-29,Streaming Service,-211.17
2024-04-05,Gym,119.41
2024-07-02,Grocery,-304.87
2024-07-15,Streaming Service,-5.03
2024-12-16,RideShare,339.89
2024-09-07,Coffee Shop,-469.14
2024-04-22,"Restaurant, Special",-275.16
2024-05-27,Coffee Shop,65.65
2024-09-10,Streaming Service,72.71
2024-05-17,Streaming Service,-133.14
2024-01-22,RideShare,489.78
2024-02-22,Online Store,499.31
2024-08-18,Restaurant,316.73
2024-08-12,Fuel,-263.05
2024-10-28,Gym,110.26
2024-08-07,Coffee Shop,284.85
2024-04-15,Grocery,32.28
2024-11-01,Streaming Service,479.0
2024-05-29,Restaurant,452.4
2024-09-20,Fuel,250.09
2024-07-29,Grocery,367.05
2024-03-05,Coffee Shop,211.39
2024-05-06,Pharmacy,77.43
2024-05-17,Pharmacy,-424.48
2024-02-17,Pharmacy,-221.77
2024-07-07,RideShare,-172.71
2024-01-02,Fuel,-41.55
2024-12-06,Gym,295.68
2024-07-22,Online Store,324.85
2024-09-10,Restaurant,-216.41
2024-10-07,Utilities,352.42
2024-06-24,"Grocery, Special",126.18
2024-08-23,Grocery,357.65
2024-08-13,"RideShare, Special",458.03
2024-04-13,Coffee Shop,-198.13
2024-05-20,Fuel,-249.61
2024-07-09,Coffee Shop,125.6
2024-12-24,Online Store,-408.8
2024-02-18,Grocery,-422.06
2024-10-30,Online Store,-54.93
2024-01-05,Gym,488.15
2024-08-04,Coffee Shop,-271.05
2024-02-15,Fuel,-132.44
2024-06-02,Coffee Shop,313.37
2024-03-09,Coffee Shop,63.29
2024-11-08,Coffee Shop,222.43
2024-11-17,Coffee Shop,116.08
2024-08-14,Online Store,-399.53
2024-03-04,Utilities,-148.46
2024-08-07,Gym,-252.21
2024-11-26,Fuel,101.0
2024-11-07,Restaurant,190.48
2024-12-03,Restaurant,106.93
2024-04-06,Pharmacy,-445.43
2024-05-02,RideShare,-258.92
2024-11-22,Utilities,388.72
2024-01-07,Gym,-368.02
2024-10-18,Pharmacy,182.94
2024-08-29,"Fuel, Special",-432.47
2024-05-14,"Online Store, Special",-439.53
2024-07-22,Streaming Service,212.63
2024-07-31,Pharmacy,-417.57
2024-10-01,Streaming Service,-222.53
2024-06-07,Fuel,-296.8
2024-03-20,Streaming Service,86.44
2024-11-28,Fuel,-62.51
2024-05-02,Grocery,424.63
2024-02-29,RideShare,-444.97
2024-12-07,Coffee Shop,207.9
2024-12-25,Grocery,453.02
2024-09-24,Streaming Service,220.77
2024-03-26,Gym,281.12
2024-05-17,Fuel,-470.64
2024-08-07,Restaurant,-237.05
2024-10-22,Fuel,10.78
2024-01-29,RideShare,-333.12
2024-03-21,Restaurant,394.27
2024-12-11,Fuel,8.82
2024-01-23,Grocery,-28.24
2024-07-15,Coffee Shop,460.34
2024-01-19,Streaming Service,214.02
2024-12-01,Pharmacy,-251.74
2024-06-12,Restaurant,71.54
2024-03-02,Streaming Service,-447.33
2024-04-24,Streaming Service,454.08
2024-02-05,RideShare,273.53
2024-06-08,Gym,-43.25
2024-07-07,Online Store,284.51
2024-11-14,Online Store,91.69
2024-09-09,Online Store,46.56
2024-05-05,"Coffee Shop, Special",-89.96
2024-04-29,Streaming Service,339.57
2024-01-05,"Gym, Special",157.3
2024-06-06,Fuel,483.12
2024-08-02,RideShare,472.56
2024-03-13,Restaurant,421.27
2024-09-23,Pharmacy,-127.51
2024-02-13,Utilities,-366.49
2024-07-20,Fuel,-437.72
2024-12-05,Coffee Shop,-239.01
2024-06-10,Pharmacy,235.35
2024-06-11,RideShare,-425.31
2024-04-13,Coffee Shop,84.71
2024-03-20,Fuel,-33.94
2024-07-27,Fuel,464.63
2024-04-16,RideShare,-234.99
2024-03-02,Fuel,186.05
2024-12-26,"Utilities, Special",335.92
2024-06-16,Coffee Shop,-251.78
2024-07-01,Pharmacy,177.18
2024-05-13,"Coffee Shop, Special",-95.61
